,Salary,Adjusted Salary
"('Houston', 'David Nwaba')",4650000,5071278
"('Houston', 'Danuel House')",3894000,4246786
"('Houston', 'Sekou Doumbouya')",3613680,3941070
"('Houston', 'Alperen Sengun')",3214680,3505922
"('Houston', 'Enes Kanter')",2641691,2881021
"('Houston', 'Usman Garuba')",2353320,2566525
"('Houston', 'Josh Christopher')",2259240,2463921
"('Houston', 'Garrison Mathews')",2000000,2181195
"('Houston', 'Bruno Fernando')",1782621,1944122
"('Houston', 'Kevin Porter')",1782621,1944122
"('Houston', ""Jae'Sean Tate"")",1517981,1655506
"('Houston', 'KJ Martin')",1517981,1655506
"('Houston', 'Armoni Brooks')",1489065,1623970
"('Houston', 'Daishen Nix')",923078,1006706
"('Houston', 'Trevelin Queen')",303102,330562
"('Houston', 'Troy Williams')",122741,133861
"('Houston', 'DeJon Jarreau')",53176,57993
"('Houston', 'Anthony Lamb')",50517,55093
"('Houston', 'Mfiondu Kabengele')",19186,20924
"('LA Clippers', 'Paul George')",39344970,42909529
"('LA Clippers', 'Kawhi Leonard')",39344900,42909452
"('LA Clippers', 'Marcus Morris')",15627907,17043757
"('LA Clippers', 'Norman Powell')",15517242,16923066
"('LA Clippers', 'Luke Kennard')",13347727,14556998
"('LA Clippers', 'Robert Covington')",12975471,14151017
"('LA Clippers', 'Reggie Jackson')",10384500,11325310
"('LA Clippers', 'Ivica Zubac')",7518518,8199677
"('LA Clippers', 'Nicolas Batum')",3170029,3457225
"('LA Clippers', 'Rodney Hood')",2239544,2442441
"('LA Clippers', 'Semi Ojeleye')",1789256,1951358
"('LA Clippers', 'Terance Mann')",1782621,1944122
"('LA Clippers', 'Isaiah Hartenstein')",1729217,1885879
"('LA Clippers', 'Jason Preston')",1062303,1158545
"('LA Clippers', 'BJ Boston')",925258,1009084
"('LA Clippers', 'Amir Coffey')",573576,625540
"('LA Clippers', 'Jay Scrubb')",462629,504542
"('LA Clippers', 'Xavier Moon')",202069,220375
"('LA Clippers', 'Wenyen Gabriel')",198760,216767
"('LA Clippers', 'James Ennis')",128709,140369
"('LA Clippers', 'Moses Wright')",53176,57993
"('LA Lakers', 'Russell Westbrook')",44211146,48216568
"('LA Lakers', 'LeBron James')",41180544,44911401
"('LA Lakers', 'Anthony Davis')",35361360,38565013
"('LA Lakers', 'Talen Horton-Tucker')",9500000,10360677
"('LA Lakers', 'Luol Deng')",5000000,5452987
"('LA Lakers', 'Kendrick Nunn')",5000000,5452987
"('LA Lakers', 'Dwight Howard')",2641691,2881021
"('LA Lakers', 'Trevor Ariza')",2641691,2881021
"('LA Lakers', 'Wayne Ellington')",2641691,2881021
"('LA Lakers', 'Carmelo Anthony')",2641691,2881021
"('LA Lakers', 'DeAndre Jordan')",2641691,2881021
"('LA Lakers', 'Avery Bradley')",2641691,2881021
"('LA Lakers', 'Kent Bazemore')",2401537,2619110
"('LA Lakers', 'Malik Monk')",1789256,1951358
"('LA Lakers', 'Stanley Johnson')",1248915,1362063
"('LA Lakers', 'Austin Reaves')",925258,1009084
"('LA Lakers', 'DJ Augustin')",622467,678861
"('LA Lakers', 'Mason Jones')",295125,321862
"('LA Lakers', 'Jay Huff')",225997,246471
"('LA Lakers', 'Sekou Doumbouya')",185451,202252
"('LA Lakers', 'Darren Collison')",151821,165575
"('LA Lakers', 'Isaiah Thomas')",151821,165575
